city,area,num,owner,provice,post,type
西安,029,1360926,中国移动,陕西,710000,"GSM
"
宝鸡,0917,1360927,中国移动,陕西,721000,"GSM
"
西安,029,1360928,中国移动,陕西,710000,"GSM
"
西安,029,1360929,中国移动,陕西,710000,"GSM
"
大兴安岭,0457,1360487,中国移动,黑龙江,165000,"GSM
"
哈尔滨,0451,1360488,中国移动,黑龙江,150000,"GSM
"
大庆,0459,1360489,中国移动,黑龙江,163000,"GSM
"
,,,,,,
贵阳,0851,1360850,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360851,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360852,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360853,中国移动,贵州,550000,"GSM
"
,,,,,,
沈阳,024,1360400,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360401,中国移动,辽宁,110000,"GSM
"
贵阳,0851,1360854,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360855,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360856,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360857,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360858,中国移动,贵州,550000,"GSM
"
贵阳,0851,1360859,中国移动,贵州,550000,"GSM
"
沈阳,024,1360402,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360403,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360404,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360405,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360406,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360407,中国移动,辽宁,110000,"GSM
"
大连,0411,1360408,中国移动,辽宁,116000,"GSM
"
大连,0411,1360409,中国移动,辽宁,116000,"GSM
"
铁岭,0410,1360410,中国移动,辽宁,112000,"GSM
"
大连,0411,1360411,中国移动,辽宁,116000,"GSM
"
鞍山,0412,1360412,中国移动,辽宁,114000,"GSM
"
抚顺,0413,1360413,中国移动,辽宁,113000,"GSM
"
本溪,0414,1360414,中国移动,辽宁,117000,"GSM
"
丹东,0415,1360415,中国移动,辽宁,118000,"GSM
"
锦州,0416,1360416,中国移动,辽宁,121000,"GSM
"
营口,0417,1360417,中国移动,辽宁,115000,"GSM
"
沈阳,024,1360418,中国移动,辽宁,110000,"GSM
"
辽阳,0419,1360419,中国移动,辽宁,111000,"GSM
"
鞍山,0412,1360420,中国移动,辽宁,114000,"GSM
"
沈阳,024,1360421,中国移动,辽宁,110000,"GSM
"
鞍山,0412,1360422,中国移动,辽宁,114000,"GSM
"
盘锦,0427,1360423,中国移动,辽宁,124000,"GSM
"
大连,0411,1360424,中国移动,辽宁,116000,"GSM
"
大连,0411,1360425,中国移动,辽宁,116000,"GSM
"
大连,0411,1360426,中国移动,辽宁,116000,"GSM
"
盘锦,0427,1360427,中国移动,辽宁,124000,"GSM
"
大连,0411,1360428,中国移动,辽宁,116000,"GSM
"
葫芦岛,0429,1360429,中国移动,辽宁,125000,"GSM
"
沈阳,024,1360490,中国移动,辽宁,110000,"GSM
"
鞍山,0412,1360491,中国移动,辽宁,114000,"GSM
"
沈阳,024,1360492,中国移动,辽宁,110000,"GSM
"
盘锦,0427,1360493,中国移动,辽宁,124000,"GSM
"
大连,0411,1360494,中国移动,辽宁,116000,"GSM
"
丹东,0415,1360495,中国移动,辽宁,118000,"GSM
"
锦州,0416,1360496,中国移动,辽宁,121000,"GSM
"
营口,0417,1360497,中国移动,辽宁,115000,"GSM
"
阜新,0418,1360498,中国移动,辽宁,123000,"GSM
"
辽阳,0419,1360499,中国移动,辽宁,111000,"GSM
"
鞍山,0412,1360980,中国移动,辽宁,114000,"GSM
"
沈阳,024,1360981,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360982,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360983,中国移动,辽宁,110000,"GSM
"
大连,0411,1360984,中国移动,辽宁,116000,"GSM
"
大连,0411,1360985,中国移动,辽宁,116000,"GSM
"
大连,0411,1360986,中国移动,辽宁,116000,"GSM
"
沈阳,024,1360987,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360988,中国移动,辽宁,110000,"GSM
"
沈阳,024,1360989,中国移动,辽宁,110000,"GSM
"
,,,,,,
咸阳,0910,1362910,中国移动,陕西,712000,"GSM
"
延安,0911,1362911,中国移动,陕西,716000,"GSM
"
榆林,0912,1362912,中国移动,陕西,719000,"GSM
"
渭南,0913,1362913,中国移动,陕西,714000,"GSM
"
商洛,0914,1362914,中国移动,陕西,726000,"GSM
"
安康,0915,1362915,中国移动,陕西,725000,"GSM
"
汉中,0916,1362916,中国移动,陕西,723000,"GSM
"
宝鸡,0917,1362917,中国移动,陕西,721000,"GSM
"
咸阳,0910,1362918,中国移动,陕西,712000,"GSM
"
铜川,0919,1362919,中国移动,陕西,727000,"GSM
"
西安,029,1362920,中国移动,陕西,710000,"GSM
"
延安,0911,1362921,中国移动,陕西,716000,"GSM
"
榆林,0912,1362922,中国移动,陕西,719000,"GSM
"
渭南,0913,1362923,中国移动,陕西,714000,"GSM
"
西安,029,1362924,中国移动,陕西,710000,"GSM
"
安康,0915,1362925,中国移动,陕西,725000,"GSM
"
西安,029,1362926,中国移动,陕西,710000,"GSM
"
西安,029,1362927,中国移动,陕西,710000,"GSM
"
西安,029,1362928,中国移动,陕西,710000,"GSM
"
西安,029,1362929,中国移动,陕西,710000,"GSM
"
,,,,,,
贵阳,0851,1362850,中国移动,贵州,550000,"GSM
"
贵阳,0851,1362851,中国移动,贵州,550000,"GSM
"
遵义,0852,1362852,中国移动,贵州,563000,"GSM
"
遵义,0852,1362853,中国移动,贵州,563000,"GSM
"
都匀（黔南）,0854,1362854,中国移动,贵州,558000,"GSM
"
凯里（黔东南）,0855,1362855,中国移动,贵州,556000,"GSM
"
贵阳,0851,1362856,中国移动,贵州,550000,"GSM
"
毕节,0857,1362857,中国移动,贵州,551700,"GSM
"
六盘水,0858,1362858,中国移动,贵州,553000,"GSM
"
兴义（黔西南）,0859,1362859,中国移动,贵州,562400,"GSM
"
,,,,,,
沈阳,024,1362400,中国移动,辽宁,110000,"GSM
"
沈阳,024,1362401,中国移动,辽宁,110000,"GSM
"
沈阳,024,1362402,中国移动,辽宁,110000,"GSM
"
沈阳,024,1362403,中国移动,辽宁,110000,"GSM
"
沈阳,024,1362404,中国移动,辽宁,110000,"GSM
"
沈阳,024,1362405,中国移动,辽宁,110000,"GSM
"
,,,,,,
拉萨,0891,1362890,中国移动,西藏,850000,"GSM
"
拉萨,0891,1362891,中国移动,西藏,850000,"GSM
"
日喀则,0892,1362892,中国移动,西藏,857000,"GSM
"
山南,0893,1362893,中国移动,西藏,856000,"GSM
"
