salary,area,age,sex,job,date,exper,company
8000-10000元,浙江金华婺城区,不限,不限,"
                        信贷经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        诚信通/速卖通/敦煌/电子商务操作
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        外贸业务员
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
3000-4000元,浙江金华义乌市,20岁-45岁,不限,"
                        饰品手工跟单
            ",2017-10-18,二年以上,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        诚信通/速卖通/敦煌/电子商务操作
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        外贸业务员
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
3000-4000元,浙江金华义乌市,20岁-45岁,不限,"
                        饰品手工跟单
            ",2017-10-18,二年以上,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华,20岁-30岁,女,"
                        文员
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
（面谈）元,浙江金华,18岁-35岁,女,"
                        财务助理
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
3000-4000元,浙江金华,20岁-45岁,男,"
                        工程部安装/调试售后
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
5000-6000元,浙江金华义乌市,20岁-40岁,女,"
                        翻译
            ",2017-10-18,二年以上,"
            义乌市国赢进出口有限公司
            "
1000-2000元,浙江金华,24岁-40岁,不限,"
                        聊天客服
            ",2017-10-18,一年以上,"
            金华市婺城区雪平建材商行
            "
3000-4000元,浙江金华,24岁-40岁,不限,"
                        人事专员
            ",2017-10-18,一年以上,"
            金华市婺城区雪平建材商行
            "
3000-4000元,浙江金华,24岁-40岁,不限,"
                        客服
            ",2017-10-18,一年以上,"
            金华市婺城区雪平建材商行
            "
3000-4000元,浙江金华婺城区,不限,不限,"
                        文员
            ",2017-10-18,不限,"
            金华丰梵科技有限公司
            "
（面谈）元,浙江金华婺城区,不限,女,"
                        文秘
            ",2017-10-18,不限,"
            金华丰梵科技有限公司
            "
15000-20000元,浙江金华,不限,不限,"
                        销售托管
            ",2017-10-18,不限,"
            金华丰梵科技有限公司
            "
4000-5000元,浙江金华义乌市,20岁-28岁,女,"
                        体验式电话销售客服
            ",2017-10-18,不限,"
            597义乌人才网（本网站）
            "
2000-3000元,浙江金华义乌市,不限,女,"
                        人事专员
            ",2017-10-18,不限,"
            597义乌人才网（本网站）
            "
4000-5000元,浙江金华义乌市,不限,女,"
                        客户经理
            ",2017-10-18,一年以上,"
            597义乌人才网（本网站）
            "
3000-4000元,浙江金华婺城区,不限,男,"
                        信息监察专员
            ",2017-10-18,不限,"
            浙江齐聚科技有限公司
            "
4000-5000元,浙江金华,20岁-35岁,不限,"
                        日化业务员
            ",2017-10-18,四年以上,"
            金华市婺城区俞礼冕日用百货商行
            "
3000-4000元,浙江金华,18岁-40岁,女,"
                        仓库打单文员
            ",2017-10-18,二年以上,"
            金华市婺城区俞礼冕日用百货商行
            "
4000-5000元,浙江金华,22岁-40岁,男,"
                        驾驶员
            ",2017-10-18,三年以上,"
            金华市婺城区俞礼冕日用百货商行
            "
（面谈）元,浙江金华,18岁以上,不限,"
                        网络推广优化
            ",2017-10-18,一年以上,"
            金华腾云科技有限公司
            "
5000-6000元,浙江金华,18岁-35岁,不限,"
                        电信营业厅销售精英
            ",2017-10-18,不限,"
            浙江省邮电器材公司金华营销分公司
            "
4000-5000元,浙江金华,不限,不限,"
                        营业员
            ",2017-10-18,不限,"
            浙江省邮电器材公司金华营销分公司
            "
（面谈）元,浙江金华,不限,不限,"
                        主办会计
            ",2017-10-18,三年以上,"
            金华达亮液压件厂
            "
（面谈）元,浙江金华,30岁-40岁,不限,"
                        生产厂长
            ",2017-10-18,五年以上,"
            金华达亮液压件厂
            "
（面谈）元,浙江金华,不限,不限,"
                        机械设计
            ",2017-10-18,不限,"
            金华达亮液压件厂
            "
5000-6000元,浙江金华婺城区,20岁-30岁,不限,"
                        互联网销售
            ",2017-10-18,不限,"
            中企动力科技股份有限公司金华分公司
            "
6000-8000元,浙江金华,不限,不限,"
                        销售代表
            ",2017-10-18,不限,"
            中企动力科技股份有限公司金华分公司
            "
6000-8000元,浙江金华,21岁-27岁,不限,"
                        储备干部
            ",2017-10-18,不限,"
            中企动力科技股份有限公司金华分公司
            "
（面谈）元,浙江金华义乌市,20岁-25岁,不限,"
                        实习销售工程师（义乌）
            ",2017-10-18,不限,"
            上海震旦办公自动化销售有限公司
            "
（面谈）元,浙江金华婺城区,22岁-32岁,不限,"
                        业务销售
            ",2017-10-18,不限,"
            上海震旦办公自动化销售有限公司
            "
（面谈）元,浙江金华,22岁-32岁,不限,"
                        销售工程师
            ",2017-10-18,不限,"
            上海震旦办公自动化销售有限公司
            "
5000-6000元,浙江金华婺城区,不限,不限,"
                        淘宝/天猫/京东/美工设计
            ",2017-10-18,三年以上,"
            金华市雅芬旅行用品有限公司
            "
6000-8000元,浙江金华,22岁-45岁,不限,"
                        客户经理
            ",2017-10-18,二年以上,"
            金华明家装饰工程有限公司
            "
10000-15000元,浙江金华,22岁-45岁,不限,"
                        市场部经理
            ",2017-10-18,二年以上,"
            金华明家装饰工程有限公司
            "
8000-10000元,浙江金华,不限,不限,"
                        业务人员
            ",2017-10-18,不限,"
            金华明家装饰工程有限公司
            "
5000-6000元,浙江金华婺城区,25岁-50岁,不限,"
                        业务员
            ",2017-10-18,一年以上,"
            金华市雪梦冷食商贸
            "
4000-5000元,浙江金华,不限,不限,"
                        业务销售人员
            ",2017-10-18,不限,"
            金华市雪梦冷食商贸
            "
5000-6000元,浙江金华,20岁以上,男,"
                        农贸业务员
            ",2017-10-18,不限,"
            金华市雪梦冷食商贸
            "
3000-4000元,浙江金华义乌市,20岁-28岁,女,"
                        仓库文员
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
（面谈）元,浙江金华,22岁-40岁,不限,"
                        产品设计师
            ",2017-10-18,二年以上,"
            金华明家装饰工程有限公司
            "
（面谈）元,浙江金华,22岁-40岁,不限,"
                        家居设计师
            ",2017-10-18,二年以上,"
            金华明家装饰工程有限公司
            "
（面谈）元,浙江金华,不限,不限,"
                        施工图深化设计师
            ",2017-10-18,二年以上,"
            金华明家装饰工程有限公司
            "
5000-6000元,浙江金华婺城区,25岁-50岁,不限,"
                        业务员
            ",2017-10-18,一年以上,"
            金华市雪梦冷食商贸
            "
4000-5000元,浙江金华,不限,不限,"
                        业务销售人员
            ",2017-10-18,不限,"
            金华市雪梦冷食商贸
            "
5000-6000元,浙江金华,20岁以上,男,"
                        农贸业务员
            ",2017-10-18,不限,"
            金华市雪梦冷食商贸
            "
3000-4000元,浙江金华义乌市,20岁-28岁,女,"
                        仓库文员
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
6000-8000元,浙江金华义乌市,19岁-35岁,不限,"
                        外贸业务员
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
3000-4000元,浙江金华义乌市,不限,不限,"
                        配货打包
            ",2017-10-18,不限,"
            义乌市金尊文体用品商行
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        客户经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        团队经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
8000-10000元,浙江金华婺城区,不限,不限,"
                        信贷经理
            ",2017-10-18,不限,"
            上海信而富企业管理有限公司金华分公
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        诚信通/速卖通/敦煌/电子商务操作
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华义乌市,18岁以上,不限,"
                        外贸业务员
            ",2017-10-18,不限,"
            义乌市海柔进出口有限公司
            "
3000-4000元,浙江金华义乌市,20岁-45岁,不限,"
                        饰品手工跟单
            ",2017-10-18,二年以上,"
            义乌市海柔进出口有限公司
            "
（面谈）元,浙江金华,20岁-30岁,女,"
                        文员
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
（面谈）元,浙江金华,18岁-35岁,女,"
                        财务助理
            ",2017-10-18,不限,"
            金华市永达电子工程有限公司
            "
